title,url,state,signatures
Fund month of celebrations of Britain's uniformed services,https://petition.parliament.uk/petitions/700714,closed,416
Review the employer NI changes announced in the Budget,https://petition.parliament.uk/petitions/700716,closed,83
"Review of the Royal Duchies, Crown estate and sovereign grant",https://petition.parliament.uk/petitions/700719,closed,285
"BAN FIREWORKS, SAVE ANIMALS! Only allow controlled firework displays!",https://petition.parliament.uk/petitions/700722,rejected,6
compulsory politics education in high schools,https://petition.parliament.uk/petitions/700723,rejected,13
Have a General Election every year as requested in 1839 by the Chartist Movement,https://petition.parliament.uk/petitions/700731,closed,249
Reinstate full HS2 route to Manchester & Leeds to combat regional inequality.,https://petition.parliament.uk/petitions/700734,closed,199
Replace PSHE with citizenship course focusing on political & social literacy,https://petition.parliament.uk/petitions/700735,rejected,14
Hold a referendum for London to become an independent country/city state,https://petition.parliament.uk/petitions/700737,closed,28
Reintroduce UK National ID cards for British citizens.,https://petition.parliament.uk/petitions/700738,closed,273
Stop local councils from selling social housing to private investors,https://petition.parliament.uk/petitions/700742,closed,496
Make fireworks illegal,https://petition.parliament.uk/petitions/700752,rejected,9
Reopen the petition to ban fireworks or change the law on their use.,https://petition.parliament.uk/petitions/700755,rejected,8
"Introduce stricter regulation of event ticket sales, resales and dynamic pricing",https://petition.parliament.uk/petitions/700756,closed,147
Raise the maximum assisted speed to 20mph for E-bikes,https://petition.parliament.uk/petitions/700758,closed,73
NO to Public Fireworks - End public sales and limit use to Licensed Events only!,https://petition.parliament.uk/petitions/700763,rejected,6
Remove Universal Credit ‘Take-home Pay’ deductions for lone parent households,https://petition.parliament.uk/petitions/700764,closed,134
Introduce a compensation scheme for WASPI women,https://petition.parliament.uk/petitions/700765,closed,161790
Ban fire works sold to house holds ! Only silent fire works to business.,https://petition.parliament.uk/petitions/700766,rejected,7
Fund routine breast screening invitations to women beyond the age of 71,https://petition.parliament.uk/petitions/700767,closed,173
Make St. David's Day on March the 1st a Public Holiday,https://petition.parliament.uk/petitions/700770,closed,890
Ban the sale of fireworks to the general public.,https://petition.parliament.uk/petitions/700771,rejected,7
Ban the sale of fireworks to the general public,https://petition.parliament.uk/petitions/700775,rejected,7
Create path to Settlement for Ukrainians in the UK,https://petition.parliament.uk/petitions/700776,closed,35948
Stop the Government from raising the tuition fee cap,https://petition.parliament.uk/petitions/700781,closed,300
Give BN(O) visa holders access to funded childcare hours for working parents,https://petition.parliament.uk/petitions/700785,closed,24
"CPR, recovery position and important first aid to be taught throughout school",https://petition.parliament.uk/petitions/700788,rejected,12
Increase maintenance loans for university students,https://petition.parliament.uk/petitions/700800,closed,76
Change rules so that small cats and dogs are allowed in airplane cabins,https://petition.parliament.uk/petitions/700802,closed,580
Ban the sale of fireworks to the wider public,https://petition.parliament.uk/petitions/700806,rejected,6
Drivers who hit cats in their car should stop and take the cat to a vet,https://petition.parliament.uk/petitions/700808,closed,1474
Review the local planning process that follows rules not opinions,https://petition.parliament.uk/petitions/700809,rejected,13
Move Tax Bands in line with minimum wage increases,https://petition.parliament.uk/petitions/700810,closed,242
Close the borders! Suspend ALL immigration for 5 years!,https://petition.parliament.uk/petitions/700824,closed,229774
Make fireworks silent,https://petition.parliament.uk/petitions/700830,rejected,6
Ban higher car insurance premiums for over 70s based on age,https://petition.parliament.uk/petitions/700837,closed,2140
